altmetric_id,mendeley_readers,citeulikereaders,blog_users,blogs_posts_count,news_unique_users,total_posts_count,wiki_posts_count,facebook_users,facebook_posts,twitter_users,twitter_posts,other_articles,mean,rank,perc,scored_higher_than,sample_size,users_lecturer,users_student_pg,users_student_phd,users_student_doct,users_researcher,users_other,users_prof_assoc,users_prof,users_medi,users_ss,users_psych,users_earth,users_agri,users_arts,users_id,users_au,altmetric_score,altmetric_score_1y,altmetric_score_6m,altmetric_score_3m,altmetric_score_1m
119662,1621,5,1,1,2,24,6,3,4,8,11,5174102,6.105731411,142026,97,5032014,5174102,29,195,131,223,129,88,61,1123,39,38,2,207,6,39,4,7,34.95,3,0,0,0
1101317,130,0,2,2,3,12,1,0,0,2,5,4814284,5.751852096,95365,98,4718905,4814284,3,24,5,27,8,9,8,1,34,4,12,23,5,6,1,4,44.684,3,0,0,0
1104688,822,21,4,4,4,13,4,0,0,1,1,5148263,6.086726062,75423,98,5073050,5148263,6,240,27,182,8,40,30,12,1,0,2,666,2,28,4,24,62.684,3.5,0.5,0.5,0
1107533,126,6,17,19,2,235,0,7,7,185,199,5181137,6.119982068,10269,99,5170872,5181137,2,30,5,38,9,14,9,24,5,7,1,51,1,11,1,1,266.038,14.35,12.35,11.5,0
1107572,534,17,4,5,2,227,0,6,6,194,206,5181137,6.119982068,17347,99,5163799,5181137,2,141,20,163,19,35,21,46,6,1,2,394,4,30,2,5,187.848,2.1,0,0,0
1109216,272,3,3,5,4,12,2,0,0,1,1,5089405,6.029621506,70278,98,5019201,5089405,10,66,8,60,14,20,16,8,39,10,41,136,18,13,0,2,65.144,5,5,5,0
1110258,142,0,6,6,5,43,1,5,5,23,24,5181074,6.119711512,41613,99,5139491,5181074,0,33,6,20,9,7,6,18,2,7,2,96,1,5,1,3,101.302,13.308,2.95,2.95,2.7
1110411,552,2,3,3,1,8,0,2,3,1,1,4897807,5.821687993,127116,97,4770731,4897807,6,131,31,82,19,21,15,79,3,1,4,388,0,15,1,3,34.94,8,0,0,0
1111980,412,3,1,1,2,19,2,2,2,2,2,5148643,6.086826379,127867,97,5020803,5148643,10,56,38,70,32,22,8,192,34,14,0,101,3,18,1,4,38.548,2,1,1,0
1120370,1099,29,7,8,2,288,0,12,12,255,265,5185357,6.1224609,11576,99,5173821,5185357,16,361,53,284,40,53,39,93,8,19,4,702,1,41,5,21,246.266,8.95,5.6,5.1,0
